Location name,Amount spent (EUR)
Alsace,1684313
Aquitaine,3220198
Auvergne,1031220
Basse-Normandie,1126995
Bourgogne,1320782
Bretagne,2560958
Centre,2041236
Champagne-Ardenne,1112051
Corse,368646
Franche-Comté,890730
French Guiana,40524
French Polynesia,15065
French Southern Territories,≤100
Guadeloupe,51915
Haute-Normandie,1650739
Hauts-de-France,110
Languedoc-Roussillon,3063821
Limousin,549448
Lorraine,2032215
Martinique,45600
Mayotte,17213
Midi-Pyrénées,2799220
New Caledonia,59955
Nord-Pas-de-Calais,3557468
Pays de la Loire,2907623
Picardie,1612821
Poitou-Charentes,1505154
Provence-Alpes-Côte d'Azur,5623838
Reunion Island,184813
Rhône-Alpes,5712223
Saint Pierre and Miquelon,618
Saint-Barthelemy,637
Saint-Martin,1928
Unknown,26220
Wallis and Futuna,365
Île-de-France,11951234
