Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
39435457457,Greenpeace France,Greenpeace France,2665855.0,8068
178362315106,European Parliament,European Parliament,1751845.0,4113
107898832590939,European Commission,European Commission,984899.0,902
9025047571,Amnesty International France,Amnesty International France,805893.0,8611
314443337102,GRDF,GRDF,785437.0,514
122037308191612,Make.org,Make.org,777078.0,2724
173159234432,UNICEF France,UNICEF France,774899.0,1459
110264154014366,Les Gargouilles,Les Gargouilles,735441.0,631
335868279790722,CIWF France,CIWF France,729714.0,1628
101221238456688,Plan transition énergie,plan transition energie,727562.0,717
14053295787,Oxfam France,Oxfam France,715066.0,7381
106626487721376,Amazon Europe,Amazon Europe,671537.0,47
1981871332106127,Programme pour la Transition Energétique,Transition Energie,645783.0,3525
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,610430.0,5523
840901192703231,Les Patriotes pour l’Europe,Groupe Identité et Démocratie - France,531608.0,1890
81753537108,TotalEnergies,TotalEnergies,482308.0,738
392341217527576,Gouvernement,Gouvernement,473846.0,572
106626487721376,Amazon Europe,Amazon France,472815.0,58
106554597767346,UNHCR France,UNHCR France,451388.0,5070
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,422470.0,5225
100707905881,Plan International France,Plan International France,399459.0,3919
480418118654568,E.Leclerc,E.Leclerc,393492.0,160
265420476920,Médecins du Monde France,Médecins du Monde France,379780.0,8069
491891557553645,ifaw,ifaw,379317.0,2273
139331629464336,EDF,EDF,369952.0,197
116070051527,Mediapart,Mediapart,368723.0,18036
179106818789009,Meta,Facebook,354816.0,3
426832457756357,Mes Soutiens,ORIXA MEDIA,354570.0,6979
176105152520900,Carrefour,Carrefour,350441.0,747
109686207314440,Helios,Helios,344413.0,2741
123875660969932,ENGIE,ENGIE,334057.0,2999
101184515815503,MrEnergy,These ads ran without a disclaimer,315803.0,91
152835304742765,Les Petits Frères des Pauvres,Les Petits Frères des Pauvres,306104.0,1034
