Page ID,Page name,Disclaimer,Amount spent (EUR)
583755248443877,L'École Française,These ads ran without a disclaimer,16642
392341217527576,Gouvernement,Gouvernement,3227
2009430405846153,Canada Immigration Express,These ads ran without a disclaimer,3060
122037308191612,Make.org,Make.org,2327
110022688653635,Bilendi & Respondi FR Be CH,Bilendi SA,1344
417997281579542,OnSexprime.fr,Santé Publique France,1052
107223990753521,Office français de la biodiversité,Office français de la biodiversité,934
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,724
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,641
1499953430289314,RDI.Guyane,Marc Henri Ho-A-Chuck,543
129740893750695,Sexosafe.fr,Santé Publique France,386
1010888405712821,Shine,These ads ran without a disclaimer,379
1515072612155615,EZsolar,These ads ran without a disclaimer,357
1376833862593416,Fédération APAJH,Fédération APAJH,310
2029944603927727,Albioma,Albioma,267
507836449265180,MDES,MDES,264
140271812694287,CANAL+ Caraïbes,These ads ran without a disclaimer,243
1830048580344520,Santé publique France,Santé Publique France,233
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,228
1443487779196572,Connie Constance,These ads ran without a disclaimer,221
134758756537113,Orange,Orange,216
109851924029348,"Pollution à Montravel, Guyane",These ads ran without a disclaimer,211
1747246615389855,Wender Karam,These ads ran without a disclaimer,210
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,192
110490484906150,La France aux urnes,La République En Marche !,184
177160299635336,Bbamboo,Bbamboo,175
1402366800013737,Comité de soutien à PATRICK LECANTE pour les municipales,These ads ran without a disclaimer,175
110064245738385,UNSA,These ads ran without a disclaimer,163
804997446264798,Chic Me,These ads ran without a disclaimer,155
137281013524431,Green Days Antilles-Guyane,These ads ran without a disclaimer,145
28312410177,World Food Programme,These ads ran without a disclaimer,142
1456586344652734,MAIF,MAIF,142
110348465366905,Ger Duany,These ads ran without a disclaimer,126
9359316996,L'Express,These ads ran without a disclaimer,112
1849098268740324,System Lease,These ads ran without a disclaimer,≤100
2029944603927727,Albioma,These ads ran without a disclaimer,≤100
105191721364391,Collectif Alter Larivot,François Kuseni,≤100
100224435395150,MG Motor Guyane,These ads ran without a disclaimer,≤100
101181722591666,FIAT Guyane Française,These ads ran without a disclaimer,≤100
248986568895243,Speechify,These ads ran without a disclaimer,≤100
1650240791951531,AS.Mobiles Guyane,These ads ran without a disclaimer,≤100
177774882691502,WORLD MOBILE,These ads ran without a disclaimer,≤100
629829460544817,Tròp Violans 973,These ads ran without a disclaimer,≤100
139663936132117,Le Point Événements,LE POINT,≤100
192662817424063,Max Orville,Max Orville,≤100
189257527619,France Nature Environnement,France Nature Environnement,≤100
105142541878801,EDUCA PLUS,These ads ran without a disclaimer,≤100
9547656123,Croix-Rouge française,These ads ran without a disclaimer,≤100
189994378314619,Négrophobie & Sexophobie,Jean-Philippe Branchi,≤100
134758756537113,Orange,These ads ran without a disclaimer,≤100
2265762796979024,France Rénov',These ads ran without a disclaimer,≤100
100163188782370,LR - Républicains  Guyane,Stéphane Augustin,≤100
447511415455055,Salsa Picante Guyane,These ads ran without a disclaimer,≤100
111644172267039,Jurisguyane,These ads ran without a disclaimer,≤100
174141250200144,RG Services,These ads ran without a disclaimer,≤100
155295241342292,EDF en Guyane,EDF en Guyane,≤100
1899046953502554,Primates à Plumes,These ads ran without a disclaimer,≤100
385406452058405,AGAV - CIDFF Guyane,These ads ran without a disclaimer,≤100
102262136124452,Only One France,Only One France,≤100
942165625922967,Société d'Avocats AJM Avocats,These ads ran without a disclaimer,≤100
417997281579542,OnSexprime.fr,These ads ran without a disclaimer,≤100
104542915517297,YourHelp,These ads ran without a disclaimer,≤100
107872217441125,mickael_guacide,These ads ran without a disclaimer,≤100
2159996940908848,Burostock Guyane,These ads ran without a disclaimer,≤100
217440228379539,"Ministère chargé de l’Égalité FH, la Diversité et l’Égalité des chances",These ads ran without a disclaimer,≤100
164743920229688,AELO - Association Nationale des Elus Locaux d'Opposition,AELO - Association des Élus Locaux d'Opposition,≤100
360872200698949,Afev France,Afev,≤100
641811412930374,Canada Visa Services,These ads ran without a disclaimer,≤100
75042608259,France Diplomatie,Ministère de l’Europe et des Affaires étrangères,≤100
5987042235,Ben & Jerry's,Ben & Jerry's,≤100
2395811333779238,Learn Immo,These ads ran without a disclaimer,≤100
130532998561,Trinity,These ads ran without a disclaimer,≤100
150023275053270,Régions de France,Régions de France,≤100
197898536970051,Iperia,These ads ran without a disclaimer,≤100
95750947597,France tv,France Télévisions,≤100
444922472257776,GuyaMag by EWAG,These ads ran without a disclaimer,≤100
45537717797,Bibliothèques Sans Frontières,Bibliothèques Sans Frontières,≤100
162407137114157,CACL - Communauté d'Agglomération du Centre Littoral,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
9547656123,Croix-Rouge française,Croix-Rouge française,≤100
1899469897047438,FRBTP Guyane,These ads ran without a disclaimer,≤100
356522324380914,Donatella Arpaia,These ads ran without a disclaimer,≤100
1837396762937162,Politique de Vie,Christian Cotten Jean Boniface,≤100
6434608263,MGG,These ads ran without a disclaimer,≤100
121457977563138,André Rougé,ROUGÉ André RN,≤100
110079478080875,Bayyeux Outlet,These ads ran without a disclaimer,≤100
1561555527436921,PUMA - Pour Un Meilleur Avenir,Gaël Francillette,≤100
103146727990,Ministère de l'Intérieur et des Outre-mer,Ministère de l'Intérieur,≤100
107517994946401,Boulogne Yang-Ting Avocats,These ads ran without a disclaimer,≤100
343522265756627,Chéri Cayenne,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
1899243206850125,FitCoach by Welltech,These ads ran without a disclaimer,≤100
133433345586031,Digicel,These ads ran without a disclaimer,≤100
261763073696478,Codorugby 2024,100% Rugby,≤100
313301639068730,Europe en Guyane,These ads ran without a disclaimer,≤100
701773346887333,FNERR,These ads ran without a disclaimer,≤100
196708717010864,Ministère de la Justice,These ads ran without a disclaimer,≤100
105967730765149,_floflo_973,These ads ran without a disclaimer,≤100
101703562286596,Credit plus,These ads ran without a disclaimer,≤100
1824501227848210,Rollin Bellony Action,These ads ran without a disclaimer,≤100
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100
205223110029331,EWAG Live,These ads ran without a disclaimer,≤100
501074179942614,Vale Lambo,These ads ran without a disclaimer,≤100
1435074753238052,Les 500 Frères Officiel,These ads ran without a disclaimer,≤100
410190732732890,Doors,These ads ran without a disclaimer,≤100
1673373176208218,Lénaïck ADAM,Lénaïck ADAM,≤100
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100
296354057501139,Cabinet Accessibilités néO,These ads ran without a disclaimer,≤100
111475824504616,Growth Hacking-Health,These ads ran without a disclaimer,≤100
949800081717760,SYSTEKO,These ads ran without a disclaimer,≤100
109021167557191,Kaz'Avenir LGBT+,These ads ran without a disclaimer,≤100
122037308191612,Make.org,Make.org with Facebook ad credits,≤100
341942132652310,Ministère de la Santé,These ads ran without a disclaimer,≤100
520021431842443,EcoFuel Premium,These ads ran without a disclaimer,≤100
