Page ID,Page name,Disclaimer,Amount spent (EUR)
417997281579542,OnSexprime.fr,Santé Publique France,1586
107223990753521,Office français de la biodiversité,Office français de la biodiversité,1508
392341217527576,Gouvernement,Gouvernement,1428
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,1092
122037308191612,Make.org,Make.org,1030
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,895
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,487
1830048580344520,Santé publique France,Santé Publique France,301
28312410177,World Food Programme,These ads ran without a disclaimer,278
129740893750695,Sexosafe.fr,Santé Publique France,177
9547656123,Croix-Rouge française,These ads ran without a disclaimer,166
583755248443877,L'École Française,These ads ran without a disclaimer,164
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,154
110022688653635,Bilendi & Respondi FR Be CH,Bilendi SA,143
804997446264798,Chic Me,These ads ran without a disclaimer,128
170600789325,Ville de Punaauia,Ville de Punaauia,119
359404991160831,Disclose.ngo,These ads ran without a disclaimer,115
2395811333779238,Learn Immo,These ads ran without a disclaimer,104
867221453415172,Tahiti Prod Events,These ads ran without a disclaimer,102
103344688657360,Association A Rohi No Papeete,These ads ran without a disclaimer,101
9359316996,L'Express,These ads ran without a disclaimer,≤100
191989160811553,Ville de Faa'a,These ads ran without a disclaimer,≤100
102262136124452,Only One France,Only One France,≤100
329834470928337,Massage traditionnel Tahitien Fare Ora Ma'ohi,These ads ran without a disclaimer,≤100
115366836686423,Regrow My Planet,These ads ran without a disclaimer,≤100
110079478080875,Bayyeux Outlet,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
106144785199190,La Lettre PureSanté,These ads ran without a disclaimer,≤100
189257527619,France Nature Environnement,France Nature Environnement,≤100
100157338175673,Accélérateur-immobilier,These ads ran without a disclaimer,≤100
1443487779196572,Connie Constance,These ads ran without a disclaimer,≤100
217440228379539,"Ministère chargé de l’Égalité FH, la Diversité et l’Égalité des chances",These ads ran without a disclaimer,≤100
290438927732837,Steeve Hamblin,These ads ran without a disclaimer,≤100
937608379673834,"Isabelle Sachet, Ministre de la famille",These ads ran without a disclaimer,≤100
234423357250881,Eremoana Manuel - 2e Challenger Mister Tahiti 2018,These ads ran without a disclaimer,≤100
311500459660812,Eco-Recaps,These ads ran without a disclaimer,≤100
154020808465469,Eric Minardi,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
109723961444274,Mme Nicole Sanquer officiel,These ads ran without a disclaimer,≤100
101001478313701,Assistance familiale,These ads ran without a disclaimer,≤100
196708717010864,Ministère de la Justice,These ads ran without a disclaimer,≤100
396533317474984,Zéro Tolérance,These ads ran without a disclaimer,≤100
238096810103818,Voix des Outre-mer,Concours Voix des Outre-mer,≤100
108016980832268,Assistances Financières du Gouvernement - AFG,These ads ran without a disclaimer,≤100
111199435587736,Deepside Deejays,These ads ran without a disclaimer,≤100
1719859464782636,Assistance familiale,These ads ran without a disclaimer,≤100
263891677826490,Earthsider,These ads ran without a disclaimer,≤100
2359736730785462,Vahine Orama Tahiti Iti,These ads ran without a disclaimer,≤100
1276503745842895,DYLN Alkaline Water Bottle,These ads ran without a disclaimer,≤100
119263973686793,Moorea temae plage,These ads ran without a disclaimer,≤100
109546477580345,Éliane Tevahitua Assemblée de Polynésie,These ads ran without a disclaimer,≤100
152342924830630,France 3 Occitanie,These ads ran without a disclaimer,≤100
246911615616,Le Dock de l'habitat,These ads ran without a disclaimer,≤100
468424780320625,Tahiti Best Promo,These ads ran without a disclaimer,≤100
9547656123,Croix-Rouge française,Croix-Rouge française,≤100
95750947597,France tv,France Télévisions,≤100
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100
248986568895243,Speechify,These ads ran without a disclaimer,≤100
110348465366905,Ger Duany,These ads ran without a disclaimer,≤100
100457728548189,Initiative pour secourir aux retraites mensuelles des familles,These ads ran without a disclaimer,≤100
