Page ID,Page name,Disclaimer,Amount spent (EUR)
107223990753521,Office français de la biodiversité,Office français de la biodiversité,≤100
129740893750695,Sexosafe.fr,Santé Publique France,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
417997281579542,OnSexprime.fr,Santé Publique France,≤100
816074091903635,Comme Avant,These ads ran without a disclaimer,≤100
104542915517297,YourHelp,These ads ran without a disclaimer,≤100
194824897244836,Zayed Sustainability Prize,These ads ran without a disclaimer,≤100
106882027720933,Ugreen_Us,These ads ran without a disclaimer,≤100
6651543066,CNN Business,These ads ran without a disclaimer,≤100
314176955123407,Fortune World: Adventure Game,These ads ran without a disclaimer,≤100
100528494989042,Funy Shop,These ads ran without a disclaimer,≤100
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100
386587978073806,Si me pones niñera no voy al colegio,These ads ran without a disclaimer,≤100
682906438559761,LARQ,These ads ran without a disclaimer,≤100
109616048320898,LearnRules,These ads ran without a disclaimer,≤100
223745337716768,KOREAZ,These ads ran without a disclaimer,≤100
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100
117680771649889,Bailey Callahan Music,These ads ran without a disclaimer,≤100
106129995185665,Investing Daily,These ads ran without a disclaimer,≤100
