Page ID,Page name,Disclaimer,Amount spent (EUR)
122037308191612,Make.org,Make.org,4561
2009430405846153,Canada Immigration Express,These ads ran without a disclaimer,4289
1456586344652734,MAIF,MAIF,3201
114289468691818,Sunzil Caraïbes,These ads ran without a disclaimer,2943
392341217527576,Gouvernement,Gouvernement,2604
2416262145082004,Petits Gestes Guadeloupe,NEW REGIE,2133
107223990753521,Office français de la biodiversité,Office français de la biodiversité,1869
407236749324296,Olivier SERVA,These ads ran without a disclaimer,1545
655479441178030,Peugeot,These ads ran without a disclaimer,1196
102382178879459,La CCI pour tous,La CCI pour tous,1047
212063409135139,ARS Guadeloupe,ARS Guadeloupe,976
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,951
110022688653635,Bilendi & Respondi FR Be CH,Bilendi SA,828
129740893750695,Sexosafe.fr,Santé Publique France,695
113810323787774,Guy Losbar,These ads ran without a disclaimer,668
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,648
352013475266904,Eco Soley Guadeloupe,These ads ran without a disclaimer,632
435373203585535,Depollution Moteurs FWI,These ads ran without a disclaimer,597
417997281579542,OnSexprime.fr,Santé Publique France,582
543871662412048,Lendopolis,Lendopolis,518
110490484906150,La France aux urnes,La République En Marche !,499
360872200698949,Afev France,Afev,452
321102471315265,Elues Locales,Elueslocales.fr,410
1611068269016210,Le Campus Digital,These ads ran without a disclaimer,384
293613527315612,COHESION SOCIALE ET LIBERTES REPUBLICAINES,COHÉSION SOCIALE ET LIBERTÉS RÉPUBLICAINES,383
1385111348368150,BMW Guadeloupe,These ads ran without a disclaimer,379
583755248443877,L'École Française,These ads ran without a disclaimer,353
1443487779196572,Connie Constance,These ads ran without a disclaimer,346
1651077441812299,Citroën,These ads ran without a disclaimer,344
134758756537113,Orange,Orange,334
177160299635336,Bbamboo,Bbamboo,332
1010888405712821,Shine,These ads ran without a disclaimer,310
804997446264798,Chic Me,These ads ran without a disclaimer,310
110064245738385,UNSA,These ads ran without a disclaimer,305
641811412930374,Canada Visa Services,These ads ran without a disclaimer,302
625195377522236,Concours Outremer Guadeloupe,These ads ran without a disclaimer,295
1830048580344520,Santé publique France,Santé Publique France,293
118785262841340,Les Comptoirs de la Bio Jarry,These ads ran without a disclaimer,265
28312410177,World Food Programme,These ads ran without a disclaimer,258
1981871332106127,Programme pour la Transition Energétique,Transition Energie,252
104277274589544,PIRAC - Croix-Rouge Française,PIRAC - Croix-Rouge Française,228
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,225
140271812694287,CANAL+ Caraïbes,These ads ran without a disclaimer,225
110348465366905,Ger Duany,These ads ran without a disclaimer,210
102950511072553,Agence Optimum,These ads ran without a disclaimer,210
1890978430970569,ADEME Antilles-Guyane,ADEME Antilles-Guyane,190
2395811333779238,Learn Immo,These ads ran without a disclaimer,188
105142541878801,EDUCA PLUS,These ads ran without a disclaimer,182
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,178
103975728764665,La KazEco971,These ads ran without a disclaimer,171
107436934015680,Caribaqua Technology,Vincent Mongis,168
1515072612155615,EZsolar,These ads ran without a disclaimer,163
2029944603927727,Albioma,These ads ran without a disclaimer,162
307296959296266,Caisse d'Epargne CEPAC,Caisse d'Epargne CEPAC,159
9359316996,L'Express,These ads ran without a disclaimer,156
128938130499216,Fepem - Fédération des particuliers employeurs de France,FEPEM,154
