Page ID,Page name,Disclaimer,Amount spent (EUR)
178362315106,European Parliament,European Parliament,≤100
179106818789009,Meta,Facebook,≤100
107898832590939,European Commission,European Commission,≤100
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,≤100
39435457457,Greenpeace France,Greenpeace France,≤100
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,≤100
305608429284,EU Environment,Commission européenne en France,≤100
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,≤100
279757933824,Parlement européen en France,Parlement européen en France,≤100
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,≤100
229791257568789,Assureur Français,These ads ran without a disclaimer,≤100
299688247340232,Energie-Pac.Com,These ads ran without a disclaimer,≤100
122037308191612,Make.org,Make.org,≤100
392341217527576,Gouvernement,Gouvernement,≤100
305608429284,EU Environment,EU Environment,≤100
268836617151334,Fille Unique,Sébastien Jean-Pierre Paul Henri Gourdon,≤100
1456586344652734,MAIF,These ads ran without a disclaimer,≤100
2151862108254266,Zéro Déchet France,Maitiarii Romain Edouard Bouly,≤100
173257392750594,Commission européenne en France,Commission européenne en France,≤100
335868279790722,CIWF France,CIWF France,≤100
178362315106,European Parliament,These ads ran without a disclaimer,≤100
1757782394471400,Brut,These ads ran without a disclaimer,≤100
176105152520900,Carrefour,These ads ran without a disclaimer,≤100
221325414598759,Skipper Macif,Macif Course au Large,≤100
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,≤100
639551443175018,Zip Box,Thomas Julien Le Bouëdec,≤100
1573221749648316,Fossil,These ads ran without a disclaimer,≤100
292120406564,SEAT,These ads ran without a disclaimer,≤100
314443337102,GRDF,GRDF,≤100
446043358936202,Climb,These ads ran without a disclaimer,≤100
301330928866,IVG : vous hésitez ? Venez en parler !,These ads ran without a disclaimer,≤100
139331629464336,EDF,These ads ran without a disclaimer,≤100
1693099564125751,Pompe a chaleur infos.com,These ads ran without a disclaimer,≤100
6797246895,Ralph Lauren,Ralph Lauren,≤100
2177632682563843,Òmnium Civil Rights Europe,These ads ran without a disclaimer,≤100
328921041030393,La revue économique,These ads ran without a disclaimer,≤100
340654233462962,Maplanèteverte,Ma Planète Verte,≤100
254390831378440,Ornikar,These ads ran without a disclaimer,≤100
8340223883,Avaaz,Avaaz,≤100
376828926453369,Mon énergie solidaire,These ads ran without a disclaimer,≤100
200661534149151,Pompe à Chaleur,These ads ran without a disclaimer,≤100
135590433555491,Diffuz Solidaire,These ads ran without a disclaimer,≤100
113579678698073,La SPA - Société Protectrice des Animaux,These ads ran without a disclaimer,≤100
298188530537614,Pousse Pousse,Pousse Pousse,≤100
1591511567791873,La Chronique Agora,These ads ran without a disclaimer,≤100
44397202909,Grafitee,These ads ran without a disclaimer,≤100
816074091903635,Comme Avant,These ads ran without a disclaimer,≤100
885626698252688,Brut nature FR,These ads ran without a disclaimer,≤100
1497575987179168,U2P - Union des entreprises de proximité,These ads ran without a disclaimer,≤100
274564499676132,G7,G7,≤100
112542522148670,"Le HCR, l'Agence des Nations Unies pour les Réfugiés","Le HCR, l'Agence des Nations Unies pour les Réfugiés",≤100
1329380840472696,Panneaux solaire,These ads ran without a disclaimer,≤100
305198376816066,Nefina,These ads ran without a disclaimer,≤100
1632519900186330,1devis.io,These ads ran without a disclaimer,≤100
112542522148670,"Le HCR, l'Agence des Nations Unies pour les Réfugiés",These ads ran without a disclaimer,≤100
145392792632,WWF-France,WWF-France,≤100
1067266096623419,Bien Vivre sa Retraite,These ads ran without a disclaimer,≤100
2002323729992518,Planète Panda,BARBIER QUENTIN,≤100
801651953289918,La Société Française des Monnaies,These ads ran without a disclaimer,≤100
649958768364900,Bourse au Quotidien,These ads ran without a disclaimer,≤100
464568377211278,Pompes à Chaleur,These ads ran without a disclaimer,≤100
131085780304822,LVMH,These ads ran without a disclaimer,≤100
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,≤100
323114175072803,Pompe à Chaleur à 1€,These ads ran without a disclaimer,≤100
190645890956184,Impot-et-Solutions.fr,These ads ran without a disclaimer,≤100
641811412930374,Canada Visa Services,These ads ran without a disclaimer,≤100
135916999809852,Visit Flanders FR,These ads ran without a disclaimer,≤100
2029944603927727,Albioma,These ads ran without a disclaimer,≤100
482625248609253,Devis.io,These ads ran without a disclaimer,≤100
1981871332106127,Programme pour la Transition Energétique,These ads ran without a disclaimer,≤100
341110826085002,Ouka & Co,SAS MONDOUKA,≤100
112547358788607,CCFD-Terre Solidaire,These ads ran without a disclaimer,≤100
265420476920,Médecins du Monde France,Médecins du Monde France,≤100
181641188947620,Mint,These ads ran without a disclaimer,≤100
1807032525988007,Jon Do,These ads ran without a disclaimer,≤100
2340946422849209,Buddy Health,These ads ran without a disclaimer,≤100
201716123952571,Mon épargne et moi,These ads ran without a disclaimer,≤100
398415124026017,Les Antagonistes,These ads ran without a disclaimer,≤100
543099962534877,Renaissance,En Marche,≤100
412147632259754,AirHelp,These ads ran without a disclaimer,≤100
527360474294400,Copees,These ads ran without a disclaimer,≤100
177757985646352,One Voice,These ads ran without a disclaimer,≤100
194934737335658,foodwatch France,These ads ran without a disclaimer,≤100
325913440866307,R-PUR,These ads ran without a disclaimer,≤100
183045748427091,Always France,These ads ran without a disclaimer,≤100
335868279790722,CIWF France,These ads ran without a disclaimer,≤100
194934737335658,foodwatch France,foodwatch France,≤100
129907230354020,Cetelem France,These ads ran without a disclaimer,≤100
155863538489081,Air et Santé,Air Et Santé,≤100
128217567344601,EUSPA - EU Agency for the Space Programme,These ads ran without a disclaimer,≤100
658561714197231,Les Bons Conseils de la CNM,These ads ran without a disclaimer,≤100
323618734452141,Brief.me,Brief.me,≤100
1203109766533618,Besoin de RePères,These ads ran without a disclaimer,≤100
1545035889067061,LITA.co France,These ads ran without a disclaimer,≤100
212218225479739,Sciences Po,Sciences Po,≤100
244226855990028,Service-Public.fr,Service-Public.fr,≤100
265420476920,Médecins du Monde France,These ads ran without a disclaimer,≤100
1643185362449069,Mon Homéo Mon Choix,These ads ran without a disclaimer,≤100
430754820705553,Factio,Factio.org,≤100
455021905328620,Terrabitia,These ads ran without a disclaimer,≤100
39435457457,Greenpeace France,These ads ran without a disclaimer,≤100
2171158826509354,Earth & Friends,These ads ran without a disclaimer,≤100
158233651450504,Rabet,These ads ran without a disclaimer,≤100
1872836906168882,Mabrona,These ads ran without a disclaimer,≤100
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,≤100
130935260328658,Première Urgence Internationale,These ads ran without a disclaimer,≤100
99506391221,Pierre et Vacances,These ads ran without a disclaimer,≤100
482625248609253,Devis.io,Dolead,≤100
286272768187018,La ZEP - Zone d'Expression Prioritaire,La ZEP - Zone d'Expression Prioritaire,≤100
204033059615163,Panorabanques,These ads ran without a disclaimer,≤100
637015663439052,Pompe A Chaleur Info.com,These ads ran without a disclaimer,≤100
493422531086028,Rue du monde,These ads ran without a disclaimer,≤100
93745060700,CARE,CARE France,≤100
292944897807583,Maison du tri,Eco Mobilier,≤100
176303760833,Fédération Pro Europa Christiana FPEC,These ads ran without a disclaimer,≤100
2106701562887023,Saine Abondance,These ads ran without a disclaimer,≤100
169301269825564,LOVOO,These ads ran without a disclaimer,≤100
2207467306235731,Ecogreen,These ads ran without a disclaimer,≤100
1656487581073095,Simone Media,These ads ran without a disclaimer,≤100
264161277045641,Tupperware France Officiel,These ads ran without a disclaimer,≤100
471216432946824,Ecole de Guerre Economique,These ads ran without a disclaimer,≤100
854582554588954,Ferdy Louisy,These ads ran without a disclaimer,≤100
424922021243063,Loopsider,These ads ran without a disclaimer,≤100
549741148763653,Dame Bastille,These ads ran without a disclaimer,≤100
334124727051193,Eco l'eau,These ads ran without a disclaimer,≤100
1241383025915322,FHE,These ads ran without a disclaimer,≤100
448464555548312,MK-Editions,These ads ran without a disclaimer,≤100
159828091120,Solidarités International,These ads ran without a disclaimer,≤100
173022039045,La Poste,These ads ran without a disclaimer,≤100
1607618682661844,Mes-Allocs,These ads ran without a disclaimer,≤100
1424938757739868,Civil Liberties Union for Europe,These ads ran without a disclaimer,≤100
2199736213418447,AirsPods,These ads ran without a disclaimer,≤100
48034275355,EPP - European People's Party,EPP - European People's Party,≤100
529905657504436,Inde en Marche,These ads ran without a disclaimer,≤100
202524770350029,Smart ECO,These ads ran without a disclaimer,≤100
396387923706777,Solutis,These ads ran without a disclaimer,≤100
202295381600,"PARTAGE, association française de solidarité internationale",These ads ran without a disclaimer,≤100
346132998748143,Radisson Blu,These ads ran without a disclaimer,≤100
285190805468917,Meilleur Placement,These ads ran without a disclaimer,≤100
424922021243063,Loopsider,Arnaud Pierre Luc Maillard,≤100
112762252088844,Public Sénat,These ads ran without a disclaimer,≤100
106645376063689,Récylum,These ads ran without a disclaimer,≤100
248039519074498,upply,Upply,≤100
131695356848145,Choisir.com,These ads ran without a disclaimer,≤100
243414435723333,Bpifrance,These ads ran without a disclaimer,≤100
1437668049846969,MiiMOSA,These ads ran without a disclaimer,≤100
16970370254,Selectra,These ads ran without a disclaimer,≤100
292168208073536,Bouge ton Avenir,These ads ran without a disclaimer,≤100
219062948053,Alternatives économiques,These ads ran without a disclaimer,≤100
335960503093998,Avenir de la Culture,These ads ran without a disclaimer,≤100
2106233389499514,Eau St Georges,These ads ran without a disclaimer,≤100
1541412079456514,Spicee,These ads ran without a disclaimer,≤100
812761575449131,Crédigo,These ads ran without a disclaimer,≤100
93745060700,CARE,These ads ran without a disclaimer,≤100
415854728487830,1083,These ads ran without a disclaimer,≤100
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100
730681673751055,"Médicis, la mutuelle retraite des indépendants et entrepreneurs",These ads ran without a disclaimer,≤100
2033977780233581,Les Meilleurs Deals,These ads ran without a disclaimer,≤100
1042794059164346,Orange Bank FR,These ads ran without a disclaimer,≤100
136932803018290,MSN.fr,These ads ran without a disclaimer,≤100
53115709947,Eric Zemmour,These ads ran without a disclaimer,≤100
2420487738043690,Energie-solaire.io,Dolead,≤100
532670060466157,Zéro Résidu de Pesticides,These ads ran without a disclaimer,≤100
204614423583572,SIPEM,These ads ran without a disclaimer,≤100
128650607172052,Monique de Kermadec,Monique de Kermadec,≤100
2059332547662115,Cogito,Cogito,≤100
192943460825098,Les Films du Losange,These ads ran without a disclaimer,≤100
269320383095938,АТОН,These ads ran without a disclaimer,≤100
1711421109113491,Jean Sébastien Baschet,These ads ran without a disclaimer,≤100
757525917636399,Navya,These ads ran without a disclaimer,≤100
2369634826653889,Melytendance,Melytendance,≤100
1051325291651546,OurCo,These ads ran without a disclaimer,≤100
236570007032383,Enlysée,These ads ran without a disclaimer,≤100
960029680815062,Pinata Beauté,These ads ran without a disclaimer,≤100
219241421600382,Dockers,These ads ran without a disclaimer,≤100
1907091326193407,America mag,America mag,≤100
140824969433714,Commerce Equitable France,Commerce Equitable France,≤100
1030528233746321,Le mouvement,~ le mouvement,≤100
108397722049,Planète OUI,These ads ran without a disclaimer,≤100
126602644034987,Technitoit,Technitoit,≤100
433082897261969,Bloquons Blanquer,These ads ran without a disclaimer,≤100
229148247162558,Petit BamBou,These ads ran without a disclaimer,≤100
1401788290040956,AXA,These ads ran without a disclaimer,≤100
194205247377292,Société de Saint Vincent de Paul - France,These ads ran without a disclaimer,≤100
283023079280975,Love Beauty & Planet,Unilever France,≤100
386108291584856,EcoTree,EcoTree,≤100
200951273268346,LOTO - FDJ,These ads ran without a disclaimer,≤100
691064507926816,Le Média TV,These ads ran without a disclaimer,≤100
