Page ID,Page name,Disclaimer,Amount spent (EUR)
122037308191612,Make.org,Make.org,5166
392341217527576,Gouvernement,Gouvernement,3474
1456586344652734,MAIF,MAIF,3436
107223990753521,Office français de la biodiversité,Office français de la biodiversité,1713
151734674892980,Renault Martinique,These ads ran without a disclaimer,1156
598898553467934,Préfet de la Martinique,Préfet de la Martinique,1055
110022688653635,Bilendi & Respondi FR Be CH,Bilendi SA,1050
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,998
114289468691818,Sunzil Caraïbes,These ads ran without a disclaimer,780
101070788005851,Cevifem,ALEFPA (OVIFEM - Observatoire des violences envers les femmes),779
171078843510820,Osmoseur Caraïbes,Fabrice Jean-Marie,764
117925562944674,Oliwon Lakarayib,Elsa Juston,734
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,653
107436934015680,Caribaqua Technology,Vincent Mongis,636
129740893750695,Sexosafe.fr,Santé Publique France,627
417997281579542,OnSexprime.fr,Santé Publique France,600
1443487779196572,Connie Constance,These ads ran without a disclaimer,585
2304385253143855,Parti Démocrate de Martinique,These ads ran without a disclaimer,562
360872200698949,Afev France,Afev,512
158198988079721,People Beach,These ads ran without a disclaimer,500
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,481
110490484906150,La France aux urnes,La République En Marche !,480
192662817424063,Max Orville,Max Orville,475
114854338560674,Laisse-moi te dire,Laisse-moi te dire,437
177160299635336,Bbamboo,Bbamboo,411
173257392750594,Commission européenne en France,These ads ran without a disclaimer,390
321102471315265,Elues Locales,Elueslocales.fr,378
1010888405712821,Shine,These ads ran without a disclaimer,354
583755248443877,L'École Française,These ads ran without a disclaimer,353
804997446264798,Chic Me,These ads ran without a disclaimer,345
123793327666467,ARS Martinique,ARS MARTINIQUE,312
101070788005851,Cevifem,These ads ran without a disclaimer,305
135562953172952,Frantzy Video,These ads ran without a disclaimer,300
134758756537113,Orange,Orange,293
110348465366905,Ger Duany,These ads ran without a disclaimer,288
972708722768218,UFM,UFM,285
28312410177,World Food Programme,These ads ran without a disclaimer,284
100769372040458,FMF Martinique,FMF Martinique,263
307296959296266,Caisse d'Epargne CEPAC,Caisse d'Epargne CEPAC,259
1830048580344520,Santé publique France,Santé Publique France,248
110064245738385,UNSA,These ads ran without a disclaimer,245
104277274589544,PIRAC - Croix-Rouge Française,PIRAC - Croix-Rouge Française,235
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,232
404128676608296,Madame la Présidente,These ads ran without a disclaimer,223
219253145251067,Harmonie d'Eden,These ads ran without a disclaimer,197
106896477904258,Renaissance Martinique,Emmanuel Théodore Amédée Arthur de Reynal de Saint-Michel,193
2395811333779238,Learn Immo,These ads ran without a disclaimer,191
140271812694287,CANAL+ Caraïbes,These ads ran without a disclaimer,182
102166354721246,Mouvement pour l'Ouverture des Ecoles en Martinique,Olivier Gaston Prosper Teboul,180
104345434249659,ENR Free Martinique,Laurent Périé,178
2029944603927727,Albioma,These ads ran without a disclaimer,178
128938130499216,Fepem - Fédération des particuliers employeurs de France,FEPEM,178
105823454235362,Réflexions identitaires,Sylvère Anicet Farraudiere,175
9359316996,L'Express,These ads ran without a disclaimer,161
318217881844035,Dalendo,Michaël Paul Cypria,160
105142541878801,EDUCA PLUS,These ads ran without a disclaimer,151
499701723377698,EDF en Martinique,EDF en Martinique,149
641811412930374,Canada Visa Services,These ads ran without a disclaimer,148
103957948138178,Semaine de l'Egalité Professionnelle,These ads ran without a disclaimer,146
100900064763958,mickael_guacide,These ads ran without a disclaimer,133
102262136124452,Only One France,Only One France,129
