Page ID,Page name,Disclaimer,Amount spent (EUR)
392341217527576,Gouvernement,Gouvernement,2107
417997281579542,OnSexprime.fr,Santé Publique France,1736
110022688653635,Bilendi & Respondi FR Be CH,Bilendi SA,1658
188606537862492,Mayotte Hebdo,Mayotte Hebdo,1604
188606537862492,Mayotte Hebdo,SOMAPRESSE,1189
122037308191612,Make.org,Make.org,874
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,671
107223990753521,Office français de la biodiversité,Office français de la biodiversité,547
192662817424063,Max Orville,Max Orville,432
360872200698949,Afev France,Afev,316
189257527619,France Nature Environnement,France Nature Environnement,218
121457977563138,André Rougé,ROUGÉ André RN,207
2029944603927727,Albioma,Albioma,198
1456586344652734,MAIF,MAIF,198
1830048580344520,Santé publique France,Santé Publique France,197
1292178437495585,Canal+ Mayotte,CANAL+ Réunion,196
379108192901490,CVJ Conseil,Clement Jaldorau,183
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,182
139663936132117,Le Point Événements,LE POINT,167
129740893750695,Sexosafe.fr,Santé Publique France,151
110064245738385,UNSA,These ads ran without a disclaimer,130
119587387735331,Communauté d'Agglomération du Grand Nord de Mayotte - CAGNM,These ads ran without a disclaimer,117
746228939050135,Communauté d'Agglomération Dembéni Mamoudzou - Cadema,These ads ran without a disclaimer,112
2156928994425730,Dugoujon & Associés Société d'Avocats,SELARL Dugoujon & Associès,111
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,106
321102471315265,Elues Locales,Elueslocales.fr,≤100
2029944603927727,Albioma,These ads ran without a disclaimer,≤100
177160299635336,Bbamboo,Bbamboo,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
2395811333779238,Learn Immo,These ads ran without a disclaimer,≤100
9547656123,Croix-Rouge française,These ads ran without a disclaimer,≤100
1825291894417560,ADIM - Agence de Développement et D'Innovation de Mayotte,These ads ran without a disclaimer,≤100
105444314638046,Cresso Groupe Service,These ads ran without a disclaimer,≤100
104025635532709,Office de Tourisme du Grand Nord de Mayotte,Communauté d'Agglomération du Grand Nord de Mayotte,≤100
110348465366905,Ger Duany,These ads ran without a disclaimer,≤100
653470765069812,HARAKA LE TRI,These ads ran without a disclaimer,≤100
1443487779196572,Connie Constance,These ads ran without a disclaimer,≤100
100282088039122,Le Temps d'Agir - LTA,These ads ran without a disclaimer,≤100
217440228379539,"Ministère chargé de l’Égalité FH, la Diversité et l’Égalité des chances",These ads ran without a disclaimer,≤100
583755248443877,L'École Française,These ads ran without a disclaimer,≤100
75042608259,France Diplomatie,Ministère de l’Europe et des Affaires étrangères,≤100
2295075494080793,Association Collectif des citoyens de mayotte,These ads ran without a disclaimer,≤100
417997281579542,OnSexprime.fr,These ads ran without a disclaimer,≤100
123316887684644,Marine Le Pen,Marine Le Pen,≤100
2265762796979024,France Rénov',These ads ran without a disclaimer,≤100
593503921134741,Nage avec les tortues,These ads ran without a disclaimer,≤100
111199435587736,Deepside Deejays,These ads ran without a disclaimer,≤100
186397495216968,Maud Petit,These ads ran without a disclaimer,≤100
115167943688035,Maymounati Moussa Ahamadi,These ads ran without a disclaimer,≤100
9359316996,L'Express,These ads ran without a disclaimer,≤100
840589819457002,Break Poverty Foundation,Break Poverty Foundation,≤100
95750947597,France tv,France Télévisions,≤100
429641387126533,Rastami Abdou,These ads ran without a disclaimer,≤100
471704313404643,Bandraboua 2020 - Les Républicains - LR et la Coalition Citoyenne,These ads ran without a disclaimer,≤100
2006772252955257,Sénateur Said OMAR OILI,These ads ran without a disclaimer,≤100
105134510990905,Union pour la commune de Bandrélé,These ads ran without a disclaimer,≤100
188606537862492,Mayotte Hebdo,These ads ran without a disclaimer,≤100
1672464886356988,Mes 5000 rêves,These ads ran without a disclaimer,≤100
283895375437303,L'Union,These ads ran without a disclaimer,≤100
112472496785630,Eva Labourdere pour Miss France,These ads ran without a disclaimer,≤100
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,≤100
106382348926957,Geobuilder Mayotte,These ads ran without a disclaimer,≤100
284161975031864,Le 101ème Etudiant,These ads ran without a disclaimer,≤100
199241863470474,David Laroche,These ads ran without a disclaimer,≤100
307296959296266,Caisse d'Epargne CEPAC,Caisse d'Epargne CEPAC,≤100
111513927014965,Avantagespourtous by FGTA FO,These ads ran without a disclaimer,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
842228782836038,BFC,These ads ran without a disclaimer,≤100
1488251128118457,Right for Education Africa,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
9547656123,Croix-Rouge française,Croix-Rouge française,≤100
103146727990,Ministère de l'Intérieur et des Outre-mer,Ministère de l'Intérieur,≤100
371545196251907,BriaAndChrissy,These ads ran without a disclaimer,≤100
1451772388394989,UNSA Fonction publique,UNSA Fonction Publique,≤100
1561555527436921,PUMA - Pour Un Meilleur Avenir,Gaël Francillette,≤100
383109572108478,Syndicat Salariés des Entreprises de Service à la Personne FO,These ads ran without a disclaimer,≤100
107340221097048,Salariés des Commerces alimentaires de proximité et magasins Bio,These ads ran without a disclaimer,≤100
