Page ID,Page name,Disclaimer,Amount spent (EUR)
632485810100536,province Sud,Province Sud,11699
112694396966066,Transition Énergétique Calédonienne,These ads ran without a disclaimer,4432
189715368062996,Élections NC,These ads ran without a disclaimer,3467
189715368062996,Élections NC,Haut-Commissariat de la République en Nouvelle-Calédonie,3457
1638484953072131,Sunzil Pacific,These ads ran without a disclaimer,2942
358205864284690,Calédonie Ensemble,Calédonie Ensemble,2395
111557687328292,Gecowatt,These ads ran without a disclaimer,2253
632485810100536,province Sud,province Sud de Nouvelle-Calédonie,2050
122037308191612,Make.org,Make.org,1908
107223990753521,Office français de la biodiversité,Office français de la biodiversité,1514
848188222030976,Agence Calédonienne de l'Énergie - ACE,Agence Calédonienne de l'Énergie,1429
101142051841006,Fonds Social de l'Habitat NC,Fonds Social de l'Habitat,1396
417997281579542,OnSexprime.fr,Santé Publique France,1382
103923884431914,Georges Naturel - Sénateur de Nouvelle-Calédonie,Georges Naturel,1254
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,1224
545829029103459,Institut du Pont-Neuf,Fondation du Pont-Neuf,968
392341217527576,Gouvernement,Gouvernement,854
1992747901045064,Solidarité NC,These ads ran without a disclaimer,848
1058589734180547,NoumeaPost,JCG21,799
179346862669007,"Nos vies, nos avis","Parole citoyenne, vers une démocratie participative",647
632485810100536,province Sud,These ads ran without a disclaimer,638
101490714570334,Province Sud 100% pratique,Province Sud,626
506727826023676,Philippe Gomès,Calédonie Ensemble,596
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,516
506727826023676,Philippe Gomès,These ads ran without a disclaimer,501
422321974291825,Voix NC,Voix NC,425
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,407
358205864284690,Calédonie Ensemble,These ads ran without a disclaimer,361
28312410177,World Food Programme,These ads ran without a disclaimer,275
2395811333779238,Learn Immo,These ads ran without a disclaimer,253
1830048580344520,Santé publique France,Santé Publique France,247
845948342090728,Haut-Commissariat de la République en Nouvelle-Calédonie,Haut-Commissariat de la République en Nouvelle-Calédonie,214
129740893750695,Sexosafe.fr,Santé Publique France,194
754463324658704,Enercal,These ads ran without a disclaimer,183
115366836686423,Regrow My Planet,These ads ran without a disclaimer,176
1859528004331395,Philippe Dunoyer,Calédonie Ensemble,174
