Page ID,Page name,Disclaimer,Amount spent (EUR)
39435457457,Greenpeace France,Greenpeace France,141356
1981871332106127,Programme pour la Transition Energétique,Transition Energie,113859
178362315106,European Parliament,European Parliament,89709
107898832590939,European Commission,European Commission,55822
101221238456688,Plan transition énergie,plan transition energie,55088
110264154014366,Les Gargouilles,Les Gargouilles,46520
314443337102,GRDF,GRDF,41822
9025047571,Amnesty International France,Amnesty International France,40997
122037308191612,Make.org,Make.org,40279
14053295787,Oxfam France,Oxfam France,38388
106626487721376,Amazon Europe,Amazon Europe,35633
173159234432,UNICEF France,UNICEF France,33762
335868279790722,CIWF France,CIWF France,32517
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,32122
81753537108,TotalEnergies,TotalEnergies,26980
392341217527576,Gouvernement,Gouvernement,26029
100812558525125,Bon Plan Habitat,Transition Energie,22421
106626487721376,Amazon Europe,Amazon France,21650
480418118654568,E.Leclerc,E.Leclerc,21642
100707905881,Plan International France,Plan International France,19986
116070051527,Mediapart,Mediapart,19078
840901192703231,Les Patriotes pour l’Europe,Groupe Identité et Démocratie - France,19010
139331629464336,EDF,EDF,18457
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,18357
123875660969932,ENGIE,ENGIE,18275
106554597767346,UNHCR France,UNHCR France,17364
265420476920,Médecins du Monde France,Médecins du Monde France,16736
176105152520900,Carrefour,Carrefour,16474
100255681599847,Veolia France,Veolia,16413
126460897426299,Ville de Nantes,Ville de Nantes,15752
5987042235,Ben & Jerry's,Ben & Jerry's,15682
426832457756357,Mes Soutiens,ORIXA MEDIA,15668
491891557553645,ifaw,ifaw,14999
312006269003808,ilek,ilek,14964
113579678698073,La SPA - Société Protectrice des Animaux,La SPA - Société Protectrice des Animaux,14866
109686207314440,Helios,Helios,14504
152835304742765,Les Petits Frères des Pauvres,Les Petits Frères des Pauvres,14281
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,13982
1854457991285846,Eco Energie,Transition Energies,13550
1456586344652734,MAIF,MAIF,13403
179106818789009,Meta,Facebook,12963
122074554119,EU Social,EU Social,12868
101184515815503,MrEnergy,These ads ran without a disclaimer,12545
105433001916166,Brut.Audience,BRUT SAS,12202
103355385129734,The Climate Pledge,The Climate Pledge,12063
256197435586,Handicap International - Humanity & Inclusion,Handicap International,11582
146955527905,EU Civil Protection & Humanitarian Aid,EU Civil Protection & Humanitarian Aid,11376
384955301529344,Institut du Cerveau - Paris Brain Institute,Institut du Cerveau - Paris Brain Institute,11256
252417390706,APF France handicap,APF France handicap,10754
164302750336862,Wish,These ads ran without a disclaimer,10714
114676815236667,AIDES,AIDES,10551
110490484906150,La France aux urnes,La République En Marche !,10056
271026783614,Fondation ARC pour la recherche sur le cancer,Fondation ARC pour la recherche sur le cancer,9943
417997281579542,OnSexprime.fr,Santé Publique France,9921
315718434933,Crédit Agricole,Crédit Agricole S.A.,9337
79566127213,Challenges,Challenges.fr,9174
129740893750695,Sexosafe.fr,Santé Publique France,8937
194212357654878,Agence régionale de santé Pays de la Loire,Make.org,8838
108961334029224,Ekō en français,SumOfUs,8487
911701392321382,Les Artisans Eco,These ads ran without a disclaimer,8411
147126052393,Libération,Libération,8375
5755303613,La Chaîne de l'Espoir,La Chaîne de l'Espoir,8211
211095382256023,"Mars, Incorporated",MARS FRANCE,8187
155317537884626,Ordre de Malte France,Ordre de Malte France,8133
155492235848,30 Millions d'Amis,30 Millions d'Amis (Officiel),8082
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,7961
2270940902977636,"Sauve ton bio : Mangez mieux, économisez plus, gaspillez moins",Sauve ton bio,7570
278117815576023,EU Justice and Consumers,EU Justice and Consumers,7272
323114175072803,Pompe à Chaleur à 1€,These ads ran without a disclaimer,7246
1682924348618893,Ekwateur,ekWateur,7243
278641698813937,Fondation Raoul Follereau,Fondation Raoul Follereau,7197
312127148896464,BRITA France,These ads ran without a disclaimer,7116
285190805468917,Meilleur Placement,Philippe Jaen Aime,6989
172991730153781,Energies subventions,David Itah,6965
360872200698949,Afev France,Afev,6927
116455261255,Action contre la Faim (France),Action contre la Faim (France),6906
108976890348,Vaincre la Mucoviscidose,Vaincre la Mucoviscidose,6830
116455261255,Action contre la Faim (France),Action contre la Faim,6543
103804191671034,Tilt,"Tilt, une initiative de l'AFD",6507
124635890909275,Apprentis d'Auteuil,Apprentis d'Auteuil,6458
104442548176455,Mademoiselle Culotte,These ads ran without a disclaimer,6425
328157150830,Fondation Perce-Neige,Fondation Perce-Neige,6314
54309785742,Fondation pour la Nature et l'Homme,Fondation pour la Nature et l'Homme,6296
103508471736919,QUATRE PATTES,QUATRE PATTES,6275
108777720681389,HappyVore,Les nouveaux fermiers,6250
153342192259,Clarins,Clarins,6250
120780477955028,Secours populaire,Secours populaire,6243
190767987677923,Institut Curie,Institut Curie,6203
165039663531531,Minecraft,These ads ran without a disclaimer,6195
1757782394471400,Brut,Brut,6164
100240932518840,Le Grand Défi Ecologique - ADEME,ADEME,6160
176663393102,La Cimade,La Cimade,6072
103508471736919,QUATRE PATTES,Quatre Pattes,6033
194205247377292,Société de Saint Vincent de Paul - France,Société de Saint Vincent de Paul - National,6016
108943410672988,SPRiNG,WeSpring,5931
340654233462962,Maplanèteverte,Ma Planète Verte,5896
1684441541609223,Pour l'Éco,Pour l'Éco,5818
106744734249541,J'accueille,SINGA France,5748
291803297264,Action Education,Aide et Action - Officiel,5737
279757933824,Parlement européen en France,Parlement européen en France,5696
100140410085507,350 France,350 France,5647
1981871332106127,Programme pour la Transition Energétique,These ads ran without a disclaimer,5575
495762937483621,Les Lignes Bougent,Les Lignes Bougent,5464
93745060700,CARE,CARE France,5319
328227120690505,Ministère du Travail,Ministère du Travail,5287
122037308191612,Make.org,Fondation Agir Contre l'Exclusion,5207
99340666617,Nettoyons la Nature,E.Leclerc,5044
101686454955935,Mes Soutiens - Médecins du Monde,Médecins du Monde France,5028
194934737335658,foodwatch France,foodwatch France,5014
194745373893883,Le Jour du Seigneur,Le Jour du Seigneur,4979
135590433555491,Diffuz Solidaire,MACIF,4979
1539166179460431,Isolation et Ravalement,These ads ran without a disclaimer,4961
145935538786259,Hyundai France,These ads ran without a disclaimer,4789
43083507654,Enercoop,Enercoop,4781
500437833654583,Agence française pour la biodiversité,Agence française pour la biodiversité,4778
1757782394471400,Brut,These ads ran without a disclaimer,4723
102822621847101,L'éco Prime,These ads ran without a disclaimer,4699
217145431660305,Syndicat CFTC,Syndicat CFTC,4681
713321172508970,Energie gratuite,These ads ran without a disclaimer,4671
125257203997439,Center for US Voters Abroad Turnout Project,Center for U.S. Voters Abroad Foundation,4658
213536435417677,Fondation de France,Fondation de France,4646
305608429284,EU Environment,Commission européenne en France,4635
707656492726028,Le Crédit Malin,These ads ran without a disclaimer,4574
169882349846,Département de Loire-Atlantique,Département de Loire-Atlantique,4427
404427720023574,Extrême,Emilie Marie-Hélène Boisselle,4417
137102989708866,Fondation Jérôme Lejeune,Fondation Jérôme Lejeune,4410
1891306977793412,France Alzheimer et maladies apparentées,France Alzheimer et maladies apparentées,4381
383882575328659,GRTgaz,GRTgaz,4317
145401631365,SSAB,SSAB Swedish Steel S.A.S.,4302
278422012257681,Le Pacte,Le Pacte,4237
145392792632,WWF-France,WWF-France,4188
1642011509390003,Wizbii Money,Wizbii,4114
256197435586,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,4092
376828926453369,Mon énergie solidaire,These ads ran without a disclaimer,4008
610275735795477,Kinder Joy of moving,Ferrero France Commerciale,4003
475724165824248,Roundtable on Sustainable Palm Oil - RSPO,Roundtable on Sustainable Palm Oil - RSPO,3997
110844793649736,Ekoblue,Ekoblue,3985
117709028343322,Association pour le Droit de Mourir dans la Dignité - ADMD,Association pour le Droit de Mourir dans la Dignité - ADMD,3971
413401852112275,La Mie de Pain,LA MIE DE PAIN,3964
2002323729992518,Planète Panda,BARBIER QUENTIN,3952
121852905877303,900.care,Aymeric Grange,3923
158609180861860,Ministère Écologie Territoires,Ministère de la Transition écologique et solidaire,3915
21254500749,Rassemblement National,Rassemblement National,3915
2151862108254266,Zéro Déchet France,Maitiarii Romain Edouard Bouly,3899
256962707748163,CCI Nantes St-Nazaire,CCI NANTES ST NAZAIRE,3862
321102471315265,Elues Locales,Elueslocales.fr,3858
323618734452141,Brief.me,Brief.me,3831
583755248443877,L'École Française,These ads ran without a disclaimer,3812
819996268096190,Identity & Democracy Party,Identity & Democracy Party,3800
625616024204368,DIGNITE international,Dignite International,3734
1966843656959136,Info viager immobilier,Nicolas Charles Joseph Desplat,3718
107808105469097,La Dianétique - France,Digitalis,3694
163061217080336,Enedis,Enedis,3678
1620638098209175,SOS MEDITERRANEE France,SOS MEDITERRANEE France,3661
775873105906446,TENA Femmes,Essity France,3643
145392792632,WWF-France,WWF France,3611
173206532693654,VELUX,VELUX,3589
100160149099313,Justice Initiative,Justice Initiative,3566
2420487738043690,Energie-solaire.io,Dolead,3484
301330928866,IVG : vous hésitez ? Venez en parler !,IVG : vous hésitez ? Venez en parler !,3475
26907085049,Scouts et Guides de France,Scouts et Guides de France,3466
128876393864352,Ligue 1 McDonald's,LIGUE DE FOOTBALL PROFESSIONNEL,3420
100561919085629,Ma Prime Solaire,These ads ran without a disclaimer,3391
173257392750594,Commission européenne en France,Commission européenne en France,3389
556310987725391,Groupe Eco Energie France - GEEF,These ads ran without a disclaimer,3332
101913792744033,Ma maison pour l’hiver,Ma maison pour l’hiver,3260
111813051744,ACTION ENFANCE,ACTION ENFANCE,3260
168901966533877,Institut Montaigne,Institut Montaigne,3254
816074091903635,Comme Avant,Comme Avant,3252
223968877680152,Renault,These ads ran without a disclaimer,3225
1598764970362891,Jordan Bardella,Jordan Bardella,3207
1863804550583555,Iso Service,Alon Tebeka,3106
105709216127942,Crédit Coopératif,Crédit Coopératif,3104
126602644034987,Technitoit,Technitoit,3091
112558237309147,iji.eco,iji.eco,3080
110000413816860,Mes-Soutiens - HCR France,ORIXA MEDIA,3065
301330928866,IVG : vous hésitez ? Venez en parler !,SOS détresse,3061
544425445579374,L'Œuvre d'Orient,L'Œuvre d'Orient,3058
170791994261,Audi France,Audi France,3036
350866824756,L214 Ethique et Animaux,L214 Ethique et Animaux,3033
631909843561408,Nespresso,Nespresso,3020
128829237956,easyJet,easyJet,3002
424922021243063,Loopsider,Loopsider,2999
1464656390521290,EtudiantGouv,EtudiantGouv,2990
721882314614976,Franceemploidomicile,FEPEM,2883
244317557500662,GRDF Centre-Ouest,GRDF,2858
130606440325044,Macif,MACIF,2856
124743098139710,Alternativi,Jean Belhache,2833
106117859442264,Chilly's,These ads ran without a disclaimer,2830
101714984908382,Masque Protector,SONICS,2801
35366632548,CFDT,CFDT,2799
201716123952571,Mon épargne et moi,Natixis Investment Managers,2788
286406748684689,AIDE 2019,These ads ran without a disclaimer,2773
103137082036088,Mon projet solaire avec EDF solutions solaires,Dolead,2751
32469808966,SOS Villages d'Enfants (France),SOS Villages d'Enfants (France),2690
206816856023737,BIODERMA,BIODERMA,2690
433170297221149,2 Min Ecologie,These ads ran without a disclaimer,2667
103146727990,Ministère de l'Intérieur et des Outre-mer,Ministère de l'Intérieur,2662
1466667490217580,Arp Sélection,ARP Sélection,2655
492173710794876,Institut Pasteur,Institut Pasteur,2651
126664467395166,Fédération Française des Diabétiques,Fédération française des diabétiques,2650
446043358936202,Climb,These ads ran without a disclaimer,2607
2424950557563209,makesense,makesense,2580
110490484906150,La France aux urnes,Renaissance,2523
108767337651693,Mes Aides Energie,These ads ran without a disclaimer,2521
197118360320055,ONE France,ONE Fr,2499
154763104543358,World Vision France,Vision du Monde,2473
2263121200569757,Isolations Gratuite,LA PLATEFORME DU LEAD,2470
463705930368887,Réseau Action Climat,Réseau Action Climat,2429
1966843656959136,Info viager immobilier,These ads ran without a disclaimer,2383
113183856757963,Bigben.connected,Margaux Butterlin,2339
109446727137249,Les Copros Vertes,FNAIM,2306
108617524393838,Ma Mutuelle,These ads ran without a disclaimer,2306
166144589923926,au courant,au courant,2269
1620332214871397,Biotyfull Box,These ads ran without a disclaimer,2257
108617820801441,Masque XIX,Solfra,2246
9328458887,adidas Originals,adidas France,2244
2181830098768270,Saint-Gobain,COMPAGNIE DE SAINT-GOBAIN,2243
1545035889067061,LITA.co France,LITA.co France,2225
101221238456688,Plan transition énergie,These ads ran without a disclaimer,2213
466932616850613,Mon avis citoyen,Mon avis citoyen,2198
384955301529344,Institut du Cerveau - Paris Brain Institute,ICM - Institut du Cerveau et de la Moelle épinière,2164
677902065668703,Fondation des Femmes,Fondation des Femmes,2159
1150185098382760,Fraternité générale,Fraternité Générale,2139
112274740305770,Sauvons les koalas,These ads ran without a disclaimer,2116
485210918314778,Président,These ads ran without a disclaimer,2101
364959206939410,ACAT France,ACAT France,2087
380039845369159,SHEIN,These ads ran without a disclaimer,2076
1830048580344520,Santé publique France,Santé Publique France,2070
128938130499216,Fepem - Fédération des particuliers employeurs de France,FEPEM,2060
119691496094990,Omi,Omi SAS,2042
139957696020854,PYRAMIDE DISTRIBUTION,PYRAMIDE DISTRIBUTION,2027
162383987105585,Association Valentin Haüy - AVH,Association Valentin Haüy - AVH,2025
61952884477,Sarenza,Sarenza,2020
314443337102,GRDF,These ads ran without a disclaimer,1970
174152456808,Welfarm,Welfarm,1964
