Page ID,Page name,Disclaimer,Amount spent (EUR)
122037308191612,Make.org,Make.org,18383
178362315106,European Parliament,European Parliament,13168
392341217527576,Gouvernement,Gouvernement,11623
1456586344652734,MAIF,MAIF,10995
105670034379791,Agence Régionale de Santé La Réunion,Agence Régionale de Santé La Réunion,9489
341589399694873,CANALBOX Réunion,CANAL+ Télécom,9316
363343994106793,Ecoloblue.re,These ads ran without a disclaimer,8789
107223990753521,Office français de la biodiversité,Office français de la biodiversité,5709
257971200956620,Kdopays,These ads ran without a disclaimer,5298
417997281579542,OnSexprime.fr,Santé Publique France,4359
2009430405846153,Canada Immigration Express,These ads ran without a disclaimer,4103
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,3081
107276701081058,Débat Néo - Trace ton Barachois,Commission nationale du débat public,2983
177160299635336,Bbamboo,Bbamboo,2929
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,2792
1643015115962903,AB CONSULTANTS,AB CONSULTANTS,2543
101807738445049,"Saint-André, Centre-ville d’Avenir","Saint-André, Centre-ville d’Avenir",2320
138251652896236,CANAL+ Réunion,CANAL+ Réunion,1957
611637712325503,Sunzil Océan Indien,These ads ran without a disclaimer,1709
115931789778226,Runeva,Ileva,1614
110490484906150,La France aux urnes,La République En Marche !,1540
803740823137805,DRDFE Réunion,DRDFE Réunion,1529
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,1311
1217764358288125,Chekpays,Alexis Ludovic Léo Dru-Sauer,1295
110022688653635,Bilendi & Respondi FR Be CH,Bilendi SA,1285
2204895343161175,Ibrahim Dindar,Ibrahim Dawood Dindar,1220
360872200698949,Afev France,Afev,1198
129740893750695,Sexosafe.fr,Santé Publique France,1166
1830048580344520,Santé publique France,Santé Publique France,1160
1010888405712821,Shine,These ads ran without a disclaimer,1095
28312410177,World Food Programme,These ads ran without a disclaimer,1031
157362324344582,Citalis,SODIPARC,1019
2029944603927727,Albioma,Albioma,923
379108192901490,CVJ Conseil,Clement Jaldorau,908
583755248443877,L'École Française,These ads ran without a disclaimer,897
109725241492914,L'Alternance CCI Réunion 2021 - 2026,Johny Arnachellum,877
110064245738385,UNSA,These ads ran without a disclaimer,823
118062764913548,Groupe CRC,Groupe CRC,751
109339070837432,Université Numérique de La Réunion,NAWAR PRODUCTIONS,746
1376833862593416,Fédération APAJH,Fédération APAJH,676
803740823137805,DRDFE Réunion,Adventif,650
169244567345903,FSE Réunion,FSE (Réunion),647
279623782644140,MK JARY / CARTE GRISE by MK JARY,These ads ran without a disclaimer,646
2029944603927727,Albioma,These ads ran without a disclaimer,644
105142541878801,EDUCA PLUS,These ads ran without a disclaimer,624
1443487779196572,Connie Constance,These ads ran without a disclaimer,613
205013086241551,Droite Sociale Réunionnaise,Ibrahim Dawood Dindar,547
155153417881348,EDF à La Réunion,EDF à La Réunion,544
110348465366905,Ger Duany,These ads ran without a disclaimer,542
199241863470474,David Laroche,These ads ran without a disclaimer,542
103392551019634,Olivier Hoarau - officiel,These ads ran without a disclaimer,528
1515072612155615,EZsolar,These ads ran without a disclaimer,507
691383661196152,Jean-Luc Poudroux,Jean Luc POUDROUX,492
104422678517515,Alon voté pou nout mobilité,Kouame Frederic Charles Konan,481
362292347604470,Goodbye Plastic,Goodbye Plastic !,473
379108192901490,CVJ Conseil,These ads ran without a disclaimer,459
2265762796979024,France Rénov',These ads ran without a disclaimer,440
2174170399317785,Emmanuel Doulouma,James Pitché,433
102262136124452,Only One France,Only One France,417
5987042235,Ben & Jerry's,Ben & Jerry's,415
471328796633293,FA7 Immobilier,These ads ran without a disclaimer,403
101087368470440,LeMedia.re,Eric Beeharry,400
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,382
1672464886356988,Mes 5000 rêves,These ads ran without a disclaimer,375
521756814833356,Le PEUP - Parti pour l'Education et l'Unité Populaire,These ads ran without a disclaimer,363
9359316996,L'Express,These ads ran without a disclaimer,348
