Page ID,Page name,Disclaimer,Amount spent (EUR)
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,113
493990067623247,CABF - Centrale d'Achat Belgique France,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,Gouvernement,≤100
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,≤100
107223990753521,Office français de la biodiversité,Office français de la biodiversité,≤100
139663936132117,Le Point Événements,LE POINT,≤100
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,≤100
189257527619,France Nature Environnement,France Nature Environnement,≤100
417997281579542,OnSexprime.fr,Santé Publique France,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
102262136124452,Only One France,Only One France,≤100
122037308191612,Make.org,Make.org,≤100
110064245738385,UNSA,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
1830048580344520,Santé publique France,Santé Publique France,≤100
104649894528662,Ékoverda,These ads ran without a disclaimer,≤100
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,≤100
102354637983176,Bourse familiale non remboursable,These ads ran without a disclaimer,≤100
359404991160831,Disclose.ngo,These ads ran without a disclaimer,≤100
804997446264798,Chic Me,These ads ran without a disclaimer,≤100
129740893750695,Sexosafe.fr,Santé Publique France,≤100
108647031726942,Hooded Man Media,These ads ran without a disclaimer,≤100
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100
178674135334159,Parrot: AI Voice Generator,These ads ran without a disclaimer,≤100
816074091903635,Comme Avant,These ads ran without a disclaimer,≤100
273250422764414,Perennia Food and Agriculture Corporation,These ads ran without a disclaimer,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
217440228379539,"Ministère chargé de l’Égalité FH, la Diversité et l’Égalité des chances",These ads ran without a disclaimer,≤100
757109144441666,Colorful Standard,These ads ran without a disclaimer,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
249511025094939,Fundación CorpArtes,These ads ran without a disclaimer,≤100
152342924830630,France 3 Occitanie,These ads ran without a disclaimer,≤100
115366836686423,Regrow My Planet,These ads ran without a disclaimer,≤100
604742389649107,Seekers Notes,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
607505006033180,Words by Eitan Chitayat,These ads ran without a disclaimer,≤100
199241863470474,David Laroche,These ads ran without a disclaimer,≤100
196708717010864,Ministère de la Justice,These ads ran without a disclaimer,≤100
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100
343459706117402,Word Collect,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
