Page ID,Page name,Disclaimer,Amount spent (EUR)
392341217527576,Gouvernement,Gouvernement,696
107223990753521,Office français de la biodiversité,Office français de la biodiversité,157
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,126
417997281579542,OnSexprime.fr,Santé Publique France,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
140271812694287,CANAL+ Caraïbes,These ads ran without a disclaimer,≤100
129740893750695,Sexosafe.fr,Santé Publique France,≤100
516758925095399,Pelicarus,Pelicarus,≤100
212063409135139,ARS Guadeloupe,ARS Guadeloupe,≤100
782809982074143,EcoWatt Premium,These ads ran without a disclaimer,≤100
1830048580344520,Santé publique France,Santé Publique France,≤100
139663936132117,Le Point Événements,LE POINT,≤100
804997446264798,Chic Me,These ads ran without a disclaimer,≤100
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,≤100
102262136124452,Only One France,Only One France,≤100
189257527619,France Nature Environnement,France Nature Environnement,≤100
350063285605302,St. Kitts Nevis Riddim,These ads ran without a disclaimer,≤100
9547656123,Croix-Rouge française,These ads ran without a disclaimer,≤100
1695889637360770,Hempire,These ads ran without a disclaimer,≤100
192662817424063,Max Orville,Max Orville,≤100
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100
109932394087445,Dr Lanny Hobson 2022 District #3 Candidate,These ads ran without a disclaimer,≤100
9359316996,L'Express,These ads ran without a disclaimer,≤100
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100
103346844456961,Linko Caraïbes,These ads ran without a disclaimer,≤100
178674135334159,Parrot: AI Voice Generator,These ads ran without a disclaimer,≤100
102631698510848,arthur_gerard12,These ads ran without a disclaimer,≤100
149871595805434,MP Rolando Brison,These ads ran without a disclaimer,≤100
392341217527576,Gouvernement,These ads ran without a disclaimer,≤100
114606689189666,RBC,These ads ran without a disclaimer,≤100
45537717797,Bibliothèques Sans Frontières,Bibliothèques Sans Frontières,≤100
100157338175673,Accélérateur-immobilier,These ads ran without a disclaimer,≤100
503951883021764,ShareTheMeal,These ads ran without a disclaimer,≤100
9547656123,Croix-Rouge française,Croix-Rouge française,≤100
307296959296266,Caisse d'Epargne CEPAC,Caisse d'Epargne CEPAC,≤100
1672464886356988,Mes 5000 rêves,These ads ran without a disclaimer,≤100
261763073696478,Codorugby 2024,100% Rugby,≤100
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,≤100
115366836686423,Regrow My Planet,These ads ran without a disclaimer,≤100
2234216573469387,Le 97150,These ads ran without a disclaimer,≤100
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100
111475824504616,Growth Hacking-Health,These ads ran without a disclaimer,≤100
604742389649107,Seekers Notes,These ads ran without a disclaimer,≤100
291332298236482,Brasserie Lost,These ads ran without a disclaimer,≤100
2816570345025914,Glenneva H. 2020,These ads ran without a disclaimer,≤100
565108056966122,Curiosity Stream,These ads ran without a disclaimer,≤100
140716706608231,Left To Survive,These ads ran without a disclaimer,≤100
