Page ID,Page name,Disclaimer,Amount spent (EUR)
39435457457,Greenpeace France,Greenpeace France,2199
9025047571,Amnesty International France,Amnesty International France,1369
189257527619,France Nature Environnement,France Nature Environnement,972
178362315106,European Parliament,European Parliament,811
14053295787,Oxfam France,Oxfam France,746
109686207314440,Helios,Helios,590
173159234432,UNICEF France,UNICEF France,574
129740893750695,Sexosafe.fr,Santé Publique France,521
360872200698949,Afev France,Afev,512
100255681599847,Veolia France,Veolia,505
417997281579542,OnSexprime.fr,Santé Publique France,503
101184515815503,MrEnergy,These ads ran without a disclaimer,475
625616024204368,DIGNITE international,Dignite International,410
152835304742765,Les Petits Frères des Pauvres,Les Petits Frères des Pauvres,386
81753537108,TotalEnergies,TotalEnergies,377
154763104543358,World Vision France,Vision du Monde,371
116455261255,Action contre la Faim (France),Action contre la Faim,369
123910440019,Renew Europe,Renew Europe Group,353
430354290347758,O2 Carrières,O2 Care Services,301
122074554119,EU Social,EU Social,301
314443337102,GRDF,GRDF,299
123875660969932,ENGIE,ENGIE,299
137102989708866,Fondation Jérôme Lejeune,Fondation Jérôme Lejeune,266
107898832590939,European Commission,European Commission,261
54568872127,Association Un enfant par la main,Un Enfant par la Main,247
100707905881,Plan International France,Plan International France,247
335868279790722,CIWF France,CIWF France,245
103804191671034,Tilt,"Tilt, une initiative de l'AFD",243
225248330547,Radio France,Radio France,228
100140410085507,350 France,350 France,174
106554597767346,UNHCR France,UNHCR France,168
105433001916166,Brut.Audience,BRUT SAS,154
2424950557563209,makesense,makesense,153
154912951193067,Médecins Sans Frontières / MSF,Médecins Sans Frontières,147
392341217527576,Gouvernement,Gouvernement,146
384955301529344,Institut du Cerveau - Paris Brain Institute,Institut du Cerveau - Paris Brain Institute,141
328157150830,Fondation Perce-Neige,Fondation Perce-Neige,139
146955527905,EU Civil Protection & Humanitarian Aid,EU Civil Protection & Humanitarian Aid,138
112547358788607,CCFD-Terre Solidaire,CCFD-Terre Solidaire,129
10150136746870526,Air France,These ads ran without a disclaimer,120
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,118
108976890348,Vaincre la Mucoviscidose,Vaincre la Mucoviscidose,117
139331629464336,EDF,These ads ran without a disclaimer,114
360872824739466,Fondation Française de l'Ordre de Malte,Fondation Française de l'Ordre de Malte,110
278422012257681,Le Pacte,Le Pacte,110
176663393102,La Cimade,La Cimade,104
116070051527,Mediapart,Mediapart,103
1465382927092690,Fondation de la Mer,Fondation de la Mer with Facebook ad credits,101
126529410723954,AFD - Agence Française de Développement,These ads ran without a disclaimer,≤100
298009277375,Škoda,These ads ran without a disclaimer,≤100
135590433555491,Diffuz Solidaire,MACIF,≤100
170194532990571,Viapresse,These ads ran without a disclaimer,≤100
79566127213,Challenges,Challenges.fr,≤100
147126052393,Libération,Libération,≤100
26907085049,Scouts et Guides de France,Scouts et Guides de France,≤100
111813051744,ACTION ENFANCE,ACTION ENFANCE,≤100
256197435586,Handicap International - Humanity & Inclusion,Handicap International - Humanity & Inclusion,≤100
139331629464336,EDF,EDF,≤100
158609180861860,Ministère Écologie Territoires,Ministère de la Transition écologique et solidaire,≤100
81753537108,TotalEnergies,These ads ran without a disclaimer,≤100
677902065668703,Fondation des Femmes,Fondation des femmes avec des coupons publicitaires Facebook,≤100
108652088245579,IA Institut,These ads ran without a disclaimer,≤100
197118360320055,ONE France,ONE Fr,≤100
106626487721376,Amazon Europe,Amazon France,≤100
721882314614976,Franceemploidomicile,FEPEM,≤100
122037308191612,Make.org,Make.org,≤100
297744124702,Mercedes-Benz France,These ads ran without a disclaimer,≤100
113579678698073,La SPA - Société Protectrice des Animaux,La SPA - Société Protectrice des Animaux,≤100
155317537884626,Ordre de Malte France,Ordre de Malte France,≤100
109271965783066,Usbek & Rica,Usbek & Rica,≤100
190767987677923,Institut Curie,Institut Curie,≤100
177200762379537,Ad Vitam,Lucky Time,≤100
217145431660305,Syndicat CFTC,Syndicat CFTC,≤100
1656487581073095,Simone Media,SIMONE MEDIA,≤100
1150185098382760,Fraternité générale,Fraternité Générale,≤100
114676815236667,AIDES,AIDES,≤100
192583130787628,Réel média,Réel média,≤100
301330928866,IVG : vous hésitez ? Venez en parler !,These ads ran without a disclaimer,≤100
312127148896464,BRITA France,These ads ran without a disclaimer,≤100
107514721572444,Stop Fake Renewables,Stop Fake Renewables,≤100
234584126616627,Le Petit Quotidien,These ads ran without a disclaimer,≤100
360872200698949,Afev France,These ads ran without a disclaimer,≤100
588914984589986,Mutualité Fonction Publique,Mutualité Fonction Publique,≤100
1030528233746321,Le mouvement,le mouvement,≤100
5987042235,Ben & Jerry's,Ben & Jerry's,≤100
1684441541609223,Pour l'Éco,Pour l'Éco,≤100
219062948053,Alternatives économiques,Alternatives Economiques,≤100
1682924348618893,Ekwateur,ekWateur,≤100
9547656123,Croix-Rouge française,Croix-Rouge française,≤100
426832457756357,Mes Soutiens,ORIXA MEDIA,≤100
101106058167117,Green Management School,MediaSchool Group,≤100
103508471736919,QUATRE PATTES,QUATRE PATTES,≤100
101686454955935,Mes Soutiens - Médecins du Monde,Médecins du Monde France,≤100
123674940994027,Revue Esprit,Revue Esprit,≤100
491891557553645,ifaw,ifaw,≤100
168901966533877,Institut Montaigne,Institut Montaigne,≤100
139957696020854,PYRAMIDE DISTRIBUTION,PYRAMIDE DISTRIBUTION,≤100
1466667490217580,Arp Sélection,ARP Sélection,≤100
2028090647440871,Anna Velazia,These ads ran without a disclaimer,≤100
123698491019029,Lombard Odier Group,These ads ran without a disclaimer,≤100
102001075501212,Moovance,Moovance,≤100
112169710179612,L'innovation Responsable,Tom Gilbert Marc Raynaud,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
173257392750594,Commission européenne en France,Commission européenne en France,≤100
125257203997439,Center for US Voters Abroad Turnout Project,Center for U.S. Voters Abroad Foundation,≤100
2395811333779238,Learn Immo,These ads ran without a disclaimer,≤100
1620638098209175,SOS MEDITERRANEE France,SOS MEDITERRANEE France,≤100
124821480532,Max Havelaar France,Max Havelaar France,≤100
620603471382277,Memento Distribution,Memento Films Distribution,≤100
